Name,Empty1,Population,Empty2,Year,Type,Empty3
Glenaire,,539,,2022,"city, city_fourth_class",
Glenallen,,,,2011,city,
Glendale,,"6,176",,2022,"city, city_fourth_class",
Glenwood,,181,,2022,"city, village",
Golden,,275,,2022,"city, census_designated_place",
Golden City,,656,,2022,"city, city_fourth_class",
Goodman,,"1,202",,2022,"city, city_fourth_class",
Goodnight,,18,,2011,city,
Goose Creek Lake,,524,,2022,"city, census_designated_place",
Gordonville,,625,,2022,"city, village",
Goss,,,,2022,"city, village",
Gower,,"1,533",,2022,"city, city_fourth_class",
Graham,,147,,2022,"city, city_fourth_class",
Grain Valley,,"15,627",,2022,"city, city_fourth_class",
Granby,,"2,050",,2022,"city, city_fourth_class",
Grand Falls Plaza,,103,,2022,"city, village",
Grand Pass,,49,,2022,"city, village",
Grandin,,226,,2022,"city, city_fourth_class",
Grandview,,"26,209",,2022,"city, city_fourth_class",
Granger,,22,,2022,"city, village",
Grant City,,817,,2022,"city, county_seat, city_fourth_class",
Grantwood,,941,,2022,"city, village",
Grantwood Village,,,,2011,city,
Gravois Mills,,129,,2022,"city, village",
Gray Summit,,"3,055",,2022,"city, census_designated_place",
Grayhawk,,488,,2022,"city, census_designated_place",
Grayridge,,87,,2022,"city, census_designated_place",
Grayson,,61,,2022,"city, village",
Green Castle,,275,,2011,"city, city_fourth_class",
Green City,,602,,2022,"city, city_fourth_class",
Green Park,,"2,705",,2022,"city, city_fourth_class",
Green Ridge,,468,,2022,"city, city_fourth_class",
Greencastle,,224,,2022,"city, city_fourth_class",
Greendale,,642,,2022,"city, city_fourth_class",
Greene,,"298,915",,2022,"county, county_first_class",
Greenfield,,"1,220",,2022,"city, county_seat, city_fourth_class",
Greentop,,388,,2022,"city, city_fourth_class",
Greenville,,443,,2022,"city, county_seat, city_fourth_class",
Greenwood,,"6,021",,2022,"city, city_fourth_class",
Grovespring,,187,,2022,"city, census_designated_place",
Grundy,,"9,808",,2022,"county, county_third_class_w_township_form",
Guilford,,60,,2022,"city, village",
Gunn City,,80,,2022,"city, village",
Hale,,375,,2022,"city, city_fourth_class",
Half Way,,,,2011,city,
Halfway,,151,,2022,"city, village",
Hallsville,,"1,614",,2022,"city, city_fourth_class",
Halltown,,104,,2022,"city, village",
Hamilton,,"1,690",,2022,"city, city_fourth_class",
Hanley Hills,,"2,009",,2022,"city, village",
Hannibal,,"17,108",,2022,"city, home_rule_city",
Hardin,,571,,2022,"city, city_fourth_class",
Harris,,65,,2022,"city, city_fourth_class",
Harrisburg,,271,,2022,"city, village",
Harrison,,"8,157",,2022,"county, county_third_class_w_township_form",
Harrisonville,,"10,121",,2022,"city, county_seat, city_fourth_class",
Hartsburg,,133,,2022,"city, village",
Hartville,,594,,2022,"city, county_seat, city_fourth_class",
Hartwell,,15,,2022,"city, census_designated_place",
Harviell,,98,,2022,"city, census_designated_place",
Harwood,,29,,2022,"city, village",
Hawk Point,,676,,2022,"city, city_fourth_class",
Hayti,,"2,493",,2022,"city, city_fourth_class",
Hayti Heights,,515,,2022,"city, city_fourth_class",
Hayward,,93,,2022,"city, census_designated_place",
Haywood City,,133,,2022,"city, village",
Hazelwood,,"25,458",,2022,"city, home_rule_city",
Henrietta,,278,,2022,"city, city_fourth_class",
Henry,,"21,946",,2022,"county, county_third_class_w_township_form",
Herculaneum,,"4,672",,2022,"city, city_fourth_class",
Hermann,,"2,185",,2022,"city, county_seat, city_fourth_class",
Hermitage,,621,,2022,"city, county_seat, city_fourth_class",
Hickory,,"8,279",,2022,"county, county_third_class_wo_township_form",
Higbee,,459,,2022,"city, city_fourth_class",
