Name,County,Class,Population,
Montrose,Henry,4th,383,
Mooresville,Livingston,Village,98,
Morehouse,New Madrid,4th,741,
Morley,Scott,4th,630,
Morrison,Gasconade,4th,93,
Morrisville,Polk,4th,376,
Mosby,Clay,4th,101,
Moscow Mills,Lincoln,4th,3317,
Mound City,Holt,4th,1004,
Moundville,Vernon,Village,78,
Mount Leonard,Saline,Village,65,
Mount Moriah,Harrison,Village,75,
Mount Vernon,Lawrence,4th,4526,
Mountain Grove,Texas/Wright,4th,4313,
Mountain View,Howell,4th,2533,
Murphy,Jefferson,CDP,8425,
Napoleon,Lafayette,4th,211,
Naylor,Ripley,4th,440,
Neck City,Jasper,4th,228,
Neelyville,Butler,4th,318,
Nelson,Saline,4th,152,
Neosho,Newton,Home Rule,12590,
Nevada,Vernon,Home Rule,8212,
New Bloomfield,Callaway,4th,687,
New Cambria,Macon,4th,153,
New Florence,Montgomery,4th,641,
New Franklin,Howard,4th,1027,
New Hamburg,Scott,CDP,218,
New Hampton,Harrison,4th,228,
New Haven,Franklin,4th,2414,
New London,Ralls,4th,943,
New Madrid,New Madrid,4th,2787,
New Market,Platte,CDP,88,
New Melle,St. Charles,4th,541,
New Wells,Perry,CDP,40,
Newark,Knox,Village,54,
Newburg,Phelps,4th,333,
Newtonia,Newton,Village,204,
Newtown,Sullivan,4th,113,
Niangua,Webster,4th,390,
Nixa,Christian,Home Rule,23257,
Noel,McDonald,4th,2124,
Norborne,Carroll,4th,634,
Normandy,St. Louis,3rd,4287,
North Kansas City,Clay,3rd,4467,
North Lilbourn,New Madrid,Village,22,
Northmoor,Platte,4th,291,
Northwoods,St. Louis,4th,3687,
Norwood,Wright,4th,578,
Norwood Court,St. Louis,Village,890,
Novelty,Knox,4th,102,
Novinger,Adair,4th,383,
O Fallon,St. Charles,Home Rule,91316,
Oak Grove,"Jackson, Lafayette",4th,8157,
Oak Grove Village,Franklin,Village,412,
Oak Ridge,Cape Girardeau,Village,237,
Oakland,St. Louis,4th,1390,
Oaks,Clay,Village,128,
Oakview,Clay,Village,366,
Oakville,St. Louis,CDP,36301,
Oakwood,Clay,Village,198,
Oakwood Park,Clay,Village,189,
Odessa,Lafayette,4th,5593,
Old Appleton,Cape Girardeau,Village,73,
Old Jamestown,St. Louis,CDP,19790,
Old Monroe,Lincoln,4th,249,
Olean,Miller,Village,114,
Olivette,St. Louis,Home Rule,8504,
Olympian Village,Jefferson,4th,719,
Oran,Scott,4th,1195,
Oregon,Holt,4th,837,
Oronogo,Jasper,4th,2558,
Orrick,Ray,4th,753,
Osage Beach,"Camden, Miller",4th,4637,
Osborn,"Clinton, DeKalb",4th,374,
Osceola,St. Clair,4th,909,
Osgood,Sullivan,Village,24,
Otterville,Cooper,4th,440,
Overland,St. Louis,3rd,15955,
Owensville,Gasconade,4th,2757,
Oxly,Ripley,CDP,62,
Ozark,Christian,4th,21284,
Ozora,Ste. Genevieve,CDP,182,
Pacific,"Franklin, St. Louis",4th,7414,
Pagedale,St. Louis,4th,2554,
Palmyra,Marion,Home Rule,3613,
Paradise,Clay,CDP,75,
Paris,Monroe,4th,1161,
Park Hills,St. Francois,3rd,8587,
Parkdale,Jefferson,Village,159,
Parkville,Platte,4th,7117,
Parkway,Franklin,Village,663,
Parma,New Madrid,4th,555,
Parnell,Nodaway,4th,135,
Pasadena Hills,St. Louis,4th,912,
Pasadena Park,St. Louis,Village,435,
Pascola,Pemiscot,Village,87,
Passaic,Bates,Village,26,
Pattonsburg,Daviess,4th,314,
Paynesville,Pike,Village,60,
Peaceful Village,Jefferson,Village,95,
Peculiar,Cass,4th,5621,
Pendleton,Warren,Village,34,
Penermon,Stoddard,Village,51,
Perkins,Scott,CDP,123,
Perry,Ralls,4th,665,
Perryville,Perry,4th,8555,
Pevely,Jefferson,4th,6026,
Philadelphia,Marion,CDP,206,
Phillipsburg,Laclede,Village,164,
Pickering,Nodaway,4th,149,
