Name,Type,Population,Class,CountySeat
Elmer,city,51,city fourth class,Macon
Elmira,city,39,village,Ray
Elmo,city,114,city fourth class,Nodaway
Elsberry,city,1937,city fourth class,Lincoln
Emerald Beach,city,212,village,Barry
Eminence,city,515,city fourth class,Shannon
Emma,city,201,city fourth class,"Lafayette, Saline"
Eolia,city,472,village,Pike
Essex,city,403,city fourth class,Stoddard
Ethel,city,41,city fourth class,Macon
Eureka,city,11646,city fourth class,St. Louis
Evergreen,city,20,village,Laclede
Everton,city,273,city fourth class,Dade
Ewing,city,406,city fourth class,Lewis
Excello,city,61,census designated place,Macon
Excelsior Estates,city,209,city fourth class,"Clay, Ray"
Excelsior Springs,city,10553,city third class,"Clay, Ray"
Exeter,city,733,city fourth class,Barry
Fair Grove,city,1582,city fourth class,Greene
Fair Play,city,422,city fourth class,Polk
Fairdealing,city,543,census designated place,"Butler, Ripley"
Fairfax,city,648,city fourth class,Atchison
Fairview,city,419,city fourth class,Newton
Farber,city,255,city fourth class,Audrain
Farley,city,265,village,Platte
Farmington,city,18217,city third class,St. Francois
Faucett,city,248,census designated place,Buchanan
Fayette,city,2803,city fourth class,Howard
Fenton,city,3989,city fourth class,St. Louis
Fenway Landing,city,0,village,Lewis
Ferguson,city,18527,city home rule,St. Louis
Ferrelview,city,642,village,Platte
Festus,city,12706,city third class,Jefferson
Fidelity,city,227,village,Jasper
Fillmore,city,173,city fourth class,Andrew
Fisk,city,312,city fourth class,Butler
Fleming,city,114,city fourth class,Ray
Flemington,city,110,village,Polk
Flint Hill,city,981,city fourth class,St. Charles
Flordell Hills,city,724,city fourth class,St. Louis
Florida,city,5,NA,Monroe
Florissant,city,52533,city home rule,St. Louis
Foley,city,89,city fourth class,Lincoln
Fordland,city,778,city fourth class,Webster
Forest City,city,243,city fourth class,Holt
Foristell,city,550,city fourth class,"St. Charles, Warren"
Forsyth,city,2730,city fourth class,Taney
Fort Leonard Wood,city,15959,census designated place,Pulaski
Fortescue,city,21,village,Holt
Fortuna,city,130,census designated place,Monitau
Foster,city,76,village,Bates
Fountain N  Lakes,city,169,village,Lincoln
Frankclay,city,194,census designated place,St. Francois
Frankford,city,343,city fourth class,Pike
Franklin,city,70,city fourth class,Howard
Franklin,county,104682,county first class,Union
Fredericktown,city,4429,city fourth class,Madison
Freeburg,city,409,village,Osage
Freeman,city,475,city fourth class,Cass
Freistatt,city,179,village,Lawrence
Fremont,city,43,census designated place,Carter
Fremont Hills,city,1049,city fourth class,Christian
Friedenswald,city,4,village,Camden
Frisbee,city,107,census designated place,Dunklin
