Name,Population,Class,County,Seat
Holden,2210,3rd,Johnson,
Holland,194,4th,Pemiscot,
Holliday,114,Village,Monroe,
Hollister,4583,4th,Taney,
Hollywood,24,CDP,Dunklin,
Holt,471,4th,"Clay, Clinton",
Holts Summit,4458,4th,Callaway,
Homestead,192,Village,Ray,
Homestown,73,4th,Pemiscot,
Hopkins,472,4th,Nodaway,
Horine,657,CDP,Jefferson,
Hornersville,537,4th,Dunklin,
Houston,2079,4th,Texas,
Houston Lake,229,4th,Platte,
Houstonia,198,4th,Pettis,
Howardville,277,4th,New Madrid,
Hughesville,150,Village,Pettis,
Humansville,907,4th,Polk,
Hume,283,4th,Bates,
Humphreys,89,Village,Sullivan,
Hunnewell,139,4th,Shelby,
Hunter,95,CDP,Carter,
Huntleigh,361,4th,St. Louis,
Huntsdale,29,Village,Boone,
Huntsville,1376,3rd,Randolph,
Hurdland,155,4th,Knox,
Hurley,176,4th,Stone,
Iantha,95,CDP,Barton,
Iatan,39,Village,Platte,
Iberia,703,4th,Miller,
Imperial,4407,CDP,Jefferson,
Independence,123011,Home Rule,Jackson,
Indian Lake,689,CDP,Crawford,
Indian Point,550,Village,Stone,
Innsbrook,596,Village,Warren,
Ionia,71,Village,"Benton, Pettis",
Irena,14,Village,Worth,
Iron Mountain Lake,640,4th,St. Francois,
Irondale,368,4th,Washington,
Ironton,1475,4th,Iron,
Irwin,47,CDP,Barton,
Jackson,15481,4th,Cape Girardeau,
Jacksonville,122,Village,Randolph,
Jameson,73,Village,Daviess,
Jamesport,559,4th,Daviess,
Jamestown,330,4th,Moniteau,
Jane,359,Village,McDonald,
Jasper,906,4th,Jasper,
Jefferson City,43228,Home Rule,"Callaway, Cole",
Jennings,12895,3rd,St. Louis,
Jerico Springs,160,Village,Cedar,
Jonesburg,726,4th,Montgomery,
Joplin,51762,Home Rule,"Jasper, Newton",
Josephville,512,Village,St. Charles,
Junction City,283,Village,Madison,
Kahoka,1961,4th,Clark,
Kansas City,508090,Home Rule,"Cass, Clay, Jackson, Platte",
Kearney,10404,4th,Clay,
Kelso,554,Village,Scott,
Kennett,10515,3rd,Dunklin,
Keytesville,440,4th,Chariton,
Kidder,267,4th,Caldwell,
Kimberling City,2344,4th,Stone,
Kimmswick,133,4th,Jefferson,
King City,799,4th,Gentry,
Kingdom City,134,Village,Callaway,
Kingston,290,4th,Caldwell,
Kingsville,245,4th,Johnson,
Kinloch,263,4th,St. Louis,
Kirbyville,195,Village,Taney,
Kirksville,17530,3rd,Adair,
Kirkwood,29461,Home Rule,St. Louis,
Kissee Mills,1023,CDP,Taney,
Knob Lick,147,CDP,St. Francois,
Knob Noster,2782,4th,Johnson,
Knox City,191,4th,Knox,
Koshkonong,196,4th,Oregon,
La Belle,664,4th,Lewis,
La Due,27,Village,Henry,
La Grange,825,Special Charter,Lewis,
La Monte,1135,4th,Pettis,
La Plata,1308,4th,Macon,
La Russell,118,Village,Jasper,
La Tour,167,CDP,Johnson,
LaBarque Creek,1658,CDP,Jefferson,
Laclede,305,4th,Linn,
Laddonia,502,4th,Audrain,
Ladue,8989,4th,St. Louis,
Lake Annette,107,4th,Cass,
Lake Arrowhead,363,CDP,NA,
Lake Lafayette,277,4th,Lafayette,
Lake Lotawana,2310,4th,Jackson,
Lake Mykee,350,4th,Callaway,
Lake Ozark,2077,4th,"Camden, Miller",
Lake St. Clair,825,CDP,Franklin,
Lake St. Louis,16707,4th,St. Charles,
Lake Tapawingo,794,4th,Jackson,
Lake Tekakwitha,230,Village,Jefferson,
Lake Timberline,726,CDP,St. Francois,
Lake Viking,486,CDP,Daviess,
Lake Waukomis,888,4th,Platte,
Lake Winnebago,1433,4th,Cass,
Lakeshire,1554,4th,St. Louis,
Lakeside,0,4th,Miller,
Lamar,4266,4th,Barton,
Lamar Heights,170,4th,Barton,
Lambert,48,NA,Scott,
Lanagan,373,4th,McDonald,
Lancaster,675,4th,Schuyler,
Laredo,156,4th,Grundy,
Latham,69,CDP,Moniteau,
Lathrop,2271,4th,Clinton,
Laurie,939,4th,"Camden, Morgan",
Lawson,2541,4th,"Clay, Ray",
Leadington,764,4th,St. Francois,
Leadwood,1178,4th,St. Francois,
Leasburg,326,Village,Crawford,
Leawood,620,Village,Newton,
Lebanon,15013,3rd,Laclede,
Lee s Summit,101108,Home Rule,"Cass, Jackson",
Leeton,532,4th,Johnson,
Leisure Lake,166,CDP,Grundy,
Lemay,17117,CDP,St. Louis,
Leonard,57,Village,Shelby,
Leslie,136,Village,Franklin,
Levasy,77,4th,Jackson,
Lewis and Clark,96,Village,Buchanan,
Lewistown,521,4th,Lewis,
Lexington,4652,3rd,Lafayette,
Liberal,629,4th,Barton,
Liberty,30167,Special Charter,Clay,
Licking,2851,4th,Texas,
Lilbourn,994,4th,New Madrid,
Lincoln,1144,4th,Benton,
Linn,1350,4th,Osage,
Linn Creek,216,4th,Camden,
Linneus,281,4th,Linn,
Lithium,92,CDP,Perry,
Livonia,52,Village,Putnam,
Loch Lloyd,863,Village,Cass,
Lock Springs,40,Village,Daviess,
Lockwood,846,4th,Dade,
Lohman,175,4th,Cole,
Loma Linda,943,Village,Newton,
Lone Jack,1492,4th,Jackson,
Longtown,90,Village,Perry,
Louisburg,134,Village,Dallas,
Louisiana,3199,3rd,Pike,
Lowry City,613,4th,St. Clair,
Lucerne,57,Village,Putnam,
Ludlow,111,Village,Livingston,
Lupus,28,4th,Moniteau,
Luray,73,Village,Clark,
Macks Creek,365,CDP,Camden,
Macon,5457,3rd,Macon,
Madison,515,4th,Monroe,
Maitland,276,4th,Holt,
Malden,3706,3rd,Dunklin,
Malta Bend,187,4th,Saline,
Manchester,18333,4th,St. Louis,
Mansfield,1193,4th,Wright,
Maplewood,8269,Home Rule,St. Louis,
Marble Hill,1388,4th,Bollinger,
Marceline,2123,3rd,"Chariton, Linn",
Marionville,2054,4th,Lawrence,
Marlborough,2221,Village,St. Louis,
Marquand,186,4th,Madison,
Marshall,13806,3rd,Saline,
Marshfield,7458,4th,Webster,
Marston,397,4th,New Madrid,
Marthasville,1245,4th,Warren,
Martinsburg,251,4th,Audrain,
Martinsville,0,Village,Harrison,
Maryland Heights,28284,3rd,St. Louis,
Maryville,10633,3rd,Nodaway,
Matthews,534,4th,New Madrid,
Maysville,1095,4th,DeKalb,
Mayview,208,4th,Lafayette,
McBaine,17,Village,Boone,
McCord Bend,212,Village,Stone,
McFall,119,Village,Gentry,
McKittrick,77,4th,Montgomery,
Meadville,415,4th,Linn,
Medill,82,CDP,Clark,
Mehlville,28955,CDP,St. Louis,
Memphis,1731,4th,Scotland,
Mendon,163,4th,Chariton,
Mercer,263,4th,Mercer,
Merriam Woods,2006,4th,Taney,
Merwin,69,Village,Bates,
Meta,180,4th,Osage,
Metz,22,Village,Vernon,
Mexico,11469,3rd,Audrain,
Miami,152,Special Charter,Saline,
Middle Grove,57,CDP,Monroe,
Middletown,171,4th,Montgomery,
Milan,1819,4th,Sullivan,
Milford,24,Village,Barton,
Mill Spring,159,Village,Wayne,
Millard,79,Village,Adair,
Miller,704,4th,Lawrence,
Millersville,240,CDP,Cape Girardeau,
Milo,57,Village,Vernon,
Mindenmines,271,4th,Barton,
Mine La Motte,364,CDP,Madison,
Miner,916,4th,Scott,
Mineral Point,231,Village,Washington,
Miramiguoa Park,126,Village,Franklin,
Missouri City,217,4th,Clay,
Moberly,13783,3rd,Randolph,
Mokane,188,4th,Callaway,
Moline Acres,2156,4th,St. Louis,
Monett,9576,3rd,"Barry, Lawrence",
Monroe City,2652,4th,"Marion, Monroe, Ralls",
